A B C
91 42 37
41 70 55
43 97 85
48 82 10
52 26 79
25 68 50
33 45 79
59 64 88
35 84 34
57 32 51
28 47 24
34 35 69
19 12 69
49 42 51
60 10 96
81 15 90
7 98 19
73 28 45
65 11 99
55 30 58
72 61 12
96 4 20
61 39 22
45 59 16
91 89 66
49 81 59
74 14 9
76 62 9
34 64 19
32 5 73
32 81 45
72 65 26
17 29 73
85 48 13
11 95 27
61 67 39
46 40 74
59 91 53
58 14 96
65 61 97
48 15 49
59 11 2
15 19 70
11 35 48
96 64 94
1 60 2
70 53 48
7 76 87
69 60 86
47 68 90
99 5 86
27 5 2
70 86 54
2 84 88
97 8 43
93 14 16
46 12 33
62 73 40
10 46 51
57 72 76
90 54 47
55 15 42
15 20 12
90 18 40
100 29 75
47 38 62
61 46 66
97 85 41
16 93 31
8 11 62
76 13 21
18 66 44
60 67 51
20 62 97
76 5 8
73 50 96
48 83 11
94 8 17
33 88 16
29 19 60
86 43 2
87 9 80
92 55 70
80 98 3
22 52 30
4 52 44
27 61 81
55 97 27
65 87 17
43 73 32
38 17 47
22 34 83
49 35 79
51 64 48
70 86 81
32 44 90
91 18 79
26 3 28
39 40 47
56 20 38
68 4 16
15 86 41
6 33 67
56 56 87
18 12 51
54 85 60
92 42 59
59 21 95
2 34 5
21 44 25
28 93 23
6 70 45
62 50 81
50 19 42
44 49 78
56 25 6
62 45 80
46 25 40
64 42 76
46 9 44
4 10 10
6 83 38
55 58 61
5 55 27
52 47 84
35 77 64
97 87 29
24 12 60
19 66 52
37 40 52
25 70 70
3 84 9
33 11 61
96 62 11
3 69 84
16 76 55
74 85 79
91 9 61
23 32 26
51 66 76
65 9 99
74 76 25
40 44 37
43 77 92
70 82 91
81 61 53
98 48 100
63 87 54
6 21 5
76 37 90
56 88 90
87 14 89
89 55 33
46 23 82
58 3 79
1 44 71
17 57 96
51 45 68
79 19 89
31 59 100
95 35 16
73 17 81
61 26 100
28 57 44
86 7 95
12 96 86
51 95 26
77 40 85
60 60 11
61 37 63
81 86 20
73 28 85
71 99 93
30 88 81
81 95 50
74 79 35
19 59 69
14 66 52
53 70 92
35 18 49
5 98 89
80 34 18
77 65 59
41 18 45
80 59 77
96 39 60
38 2 89
20 9 32
57 2 76
23 16 69
46 36 40
53 25 15
92 43 34
60 67 100
61 91 86
56 26 48
35 8 91
65 68 88
64 8 25
72 51 15
71 29 10
73 22 62
28 14 52
32 42 11
4 81 66
2 59 25
100 80 36
90 10 79
75 73 12
43 67 87
23 85 8
90 29 65
2 75 28
70 4 7
91 99 12
3 92 19
53 63 49
51 17 28
19 93 52
62 13 11
23 6 80
88 57 39
95 65 36
95 88 39
3 81 11
55 73 3
76 24 100
22 93 66
89 38 4
83 27 14
3 58 39
15 46 66
50 64 81
8 18 69
5 33 44
22 77 53
47 42 83
69 23 47
77 69 85
77 66 77
15 96 25
13 96 27
92 45 79
68 99 100
93 31 18
12 72 38
29 63 76
2 7 74
76 27 91
68 23 5
73 38 94
18 11 29
82 57 61
40 58 53
92 74 8
27 57 28
61 58 18
39 68 16
55 90 72
18 37 78
61 78 1
54 52 98
21 63 18
93 67 17
93 23 21
46 55 62
31 78 10
49 19 44
25 67 98
96 76 57
56 99 36
79 39 69
25 84 23
72 79 100
94 85 76
17 79 55
40 29 18
80 22 10
21 16 52
90 32 5
36 88 50
69 21 35
27 20 67
4 27 97
34 94 53
73 88 84
4 33 15
19 74 7
4 99 78
9 76 3
51 34 53
20 69 54
25 77 28
7 43 25
50 86 58
79 62 2
36 82 10
19 38 60
78 67 13
55 65 63
61 50 41
64 91 30
74 65 81
87 87 39
22 85 68
7 37 40
68 16 75
93 24 15
32 72 71
82 15 80
20 86 5
72 7 61
15 29 14
9 19 64
18 27 43
65 86 31
18 70 67
89 82 79
52 43 89
83 86 9
46 80 89
70 88 74
22 90 24
56 100 61
89 19 72
18 52 3
31 14 51
99 90 91
48 60 70
35 94 25
78 72 99
9 55 35
66 40 19
66 59 43
52 43 94
87 55 76
32 56 64
100 52 35
97 66 20
68 93 48
39 36 27
7 15 35
83 6 38
54 82 97
90 13 50
3 75 47
57 43 12
22 79 50
52 54 13
85 10 77
31 81 42
96 24 69
71 9 54
45 3 100
31 36 90
94 100 16
95 89 68
16 31 55
51 56 86
32 31 86
30 90 93
12 76 92
95 14 78
59 9 24
88 66 1
85 99 52
92 5 31
39 13 36
35 79 78
11 94 20
